"3187","ficha (nf)","index card, chip, token"
"3188","fidelidad (nf)","faithfulness, accuracy"
"3189","franja (nf)","strip, stripe, fringe"
"3190","generosidad (nf)","generosity"
"3191","gira (nf)","tour"
"3192","goma (nf)","rubber"
"3193","hacienda (nf)","ranch"
"3194","harina (nf)","flour"
"3195","hazaña (nf)","deed, heroic feat"
"3196","iluminación (nf)","illumination, lighting"
"3197","incapacidad (nf)","inability, incompetence"
"3198","inocencia (nf)","innocence"
"3199","inscripción (nf)","inscription, registration"
"3200","inseguridad (nf)","insecurity"
"3201","insistencia (nf)","insistence, persistence"
"3202","interrupción (nf)","interruption"
"3203","intuición (nf)","intuition"
"3204","invención (nf)","invention, contrivance"
"3205","ira (nf)","rage, wrath"
"3206","ironía (nf)","irony"
"3207","lámina (nf)","sheet of metal"
"3208","lealtad (nf)","loyalty, faithfulness"
"3209","lentitud (nf)","slowness"
"3210","llama (nf)","flame, llama"
"3211","localidad (nf)","town, locality"
"3212","maestra (nf)","teacher (f)"
"3213","maquinaria (nf)","machinery"
"3214","mariposa (nf)","butterfly, wing nut"
"3215","mecánica (nf)","mechanics, mechanism"
"3216","medalla (nf)","medal, medallion"
"3217","modificación (nf)","modification, alteration"
"3218","monja (nf)","nun"
"3219","muralla (nf)","city wall"
"3220","naturalidad (nf)","ease, spontaneity"
"3221","ópera (nf)","opera"
"3222","oveja (nf)","sheep, ewe"
"3223","paloma (nf)","dove"
"3224","parada (nf)","transportation stop"
"3225","pasta (nf)","pasta, dough"
"3226","pertenencia (nf)","membership, property"
"3227","peseta (nf)","peseta (money)"
"3228","peste (nf)","plague, pestilence, pest"
"3229","pila (nf)","battery, pile, sink"
"3230","pistola (nf)","gun, pistol"
"3231","plataforma (nf)","platform, springboard"
"3232","polémica (nf)","polemics, argument"
"3233","proposición (nf)","proposition"
"3234","prudencia (nf)","prudence, moderation"
"3235","rebeldía (nf)","rebelliousness, defiance"
"3236","redacción (nf)","editing, wording, essay"
"3237","reducción (nf)","reduction"
"3238","renovación (nf)","renewal, renovation"
"3239","renuncia (nf)","resignation, renunciation"
"3240","réplica (nf)","answer, retort, copy"
"3241","represión (nf)","repression"
"3242","reproducción (nf)","reproduction"
"3243","retirada (nf)","retreat, withdrawal"
"3244","revelación (nf)","revelation"
"3245","revisión (nf)","checking revision"
"3246","rienda (nf)","rein, restraint"
"3247","ronda (nf)","round (nf)"
"3248","sábana (nf)","bed sheet"
"3249","salvación (nf)","salvation, rescue"
"3250","semejanza (nf)","similarity, likeness"
"3251","seña (nf)","sign, mark, seal"
"3252","serenidad (nf)","serenity, calm"
"3253","solicitud (nf)","request, application"
"3254","sopa (nf)","soup"
"3255","sugerencia (nf)","suggestion"
"3256","supervivencia (nf)","survival"
"3257","ternura (nf)","tenderness"
"3258","tolerancia (nf)","tolerance"
"3259","tortura (nf)","torture"
"3260","trama (nf)","plot, theme"
"3261","ubicación (nf)","position, location"
"3262","uva (nf)","grape"
"3263","vanidad (nf)","vanity, conceit"
"3264","variante (nf)","variant, difference"
"3265","vegetación (nf)","vegetation"
"3266","vena (nf)","vein"
"3267","villa (nf)","village, villa"
"3268","víspera (nf)","eve"
"3269","vitalidad (nf)","vitality, health"
"3270","ansia (nf el)","anxiety, anguish"
"3271","aula (nf el)","classroom"
"3272","abismo (nm)","abyss, large gap"
"3273","abrazo (nm)","hug, embrace"
"3274","absurdo (nm)","absurdity, nonsense"
"3275","ácido (nm)","acid"
"3276","acorde (nm)","agreement, accord"
"3277","adversario (nm)","adversary"
"3278","algodón (nm)","cotton"
"3279","alquiler (nm)","rent, rental"
"3280","ancho (nm)","width (nm)"
"3281","aniversario (nm)","anniversary"
"3282","antepasado (nm)","ancestor"
"3283","aporte (nm)","contribution (nm)"
"3284","apunte (nm)","note, annotation"
"3285","aroma (nm)","aroma"
"3286","asalto (nm)","assault, robbery"
"3287","ascensor (nm)","elevator"
"3288","asombro (nm)","amazement, astonishment"
"3289","bote (nm)","small boat"
"3290","bulto (nm)","bulk, shape"
"3291","buque (nm)","large ship"
"3292","calendario (nm)","calendar"
"3293","campamento (nm)","camp, camping"
"3294","carbón (nm)","coal, charcoal"
"3295","chocolate (nm)","chocolate"
"3296","cinturón (nm)","belt"
"3297","circo (nm)","circus"
"3298","circuito (nm)","circuit, circumference, track"
"3299","cobre (nm)","copper"
"3300","colectivo (nm)","collective, group (nm)"
"3301","colmo; para colmo (nm)","climax; to top it all"
"3302","comandante (nm)","commander, commanding officer"
"3303","coronel (nm)","colonel"
"3304","correo (nm)","mail, post office"
"3305","cumpleaños (nm)","birthday"
"3306","decreto (nm)","decree, order"
"3307","descenso (nm)","decline, descent, lowering"
"3308","desfile (nm)","parade, line, formation"
"3309","desierto (adj)","deserted, desolate (adj)"
"3310","desplazamiento (nm)","movement, removal"
"3311","diagnóstico (nm)","diagnosis"
"3312","dicho (adj)","aforementioned, said (adj)"
"3313","diputado (nm)","deputy, member"
"3314","discípulo (nm)","disciple"
"3315","disgusto (nm)","disgust, annoyance"
"3316","disparo (nm)","shot, discharge"
"3317","divorcio (nm)","divorce"
"3318","duelo (nm)","grief, affliction"
"3319","encargo (nm)","job, order, errand"
"3320","enfoque (nm)","focus, approach"
"3321","escritorio (nm)","desk, bureau"
"3322","espectro (nm)","ghost, specter"
"3323","esplendor (nm)","splendor"
"3324","estadio (nm)","stadium"
"3325","evento (nm)","event"
"3326","expediente (nm)","dossier, proceedings"
"3327","fallo (nm)","mistake, blunder, fault"
"3328","flujo (nm)","flow, tide, discharge"
"3329","freno (nm)","brake"
"3330","fundador (nm)","founder"
"3331","gallo (nm)","rooster"
"3332","gobernador (nm)","governor"
"3333","heredero (nm)","heir, heiress"
"3334","himno (nm)","hymn, anthem"
"3335","humano (nm)","human (nm)"
"3336","insecto (nm)","insect"
"3337","instituto (nm)","institute"
"3338","insulto (nm)","insult"
"3339","interlocutor (nm)","participant in a dialog"
"3340","jugo (nm)","juice"
"3341","lecho (nm)","bed"
"3342","lema (nm)","motto, slogan"
"3343","lobo (nm)","wolf"
"3344","mantenimiento (nm)","maintenance, sustenance"
"3345","manto (nm)","cloak"
"3346","mate (nm)","mate (beverage)"
"3347","molde (nm)","mold, cast, pattern"
"3348","océano (nm)","ocean"
"3349","oeste (nm)","West"
"3350","optimismo (nm)","optimism"
"3351","original (nm)","original (nm)"
"3352","pañuelo (nm)","handkerchief, shawl"
"3353","parentesco (nm)","kinship"
"3354","parto (nm)","birth"
"3355","pasto (nm)","grass, pasture"
"3356","perfume (nm)","perfume"
"3357","perjuicio (nm)","damage, loss"
"3358","planteamiento (nm)","proposal, exposition"
"3359","polo (nm)","pole, polo, polo shirt"
"3360","preso (adj)","imprisoned, confined (adj)"
"3361","préstamo (nm)","loan, borrowing"
"3362","provecho (nm)","benefit, use"
"3363","pulso (nm)","pulse, pulsation"
"3364","puño (nm)","fist, handle, cuff"
"3365","ratón (nm)","mouse, rat"
"3366","realismo (nm)","realism"
"3367","recorte (nm)","clipping, cutting, trimming"
"3368","reglamento (nm)","regulations, rules"
"3369","relieve; poner de relieve (nm)","relief&nbsp;(scupture or Earth surface); to emphasize"
"3370","rendimiento (nm)","yield, output, efficiency"
"3371","reposo (nm)","rest, peace"
"3372","residuo (nm)","residue, waste"
"3373","retraso (nm)","delay"
"3374","ridículo (nm)","ridicule (nm)"
"3375","ritual (nm)","ritual, rite"
"3376","sillón (nm)","armchair, seat"
"3377","sindicato (nm)","trade union"
"3378","sobrino (nm)","nephew"
"3379","temblor (nm)","tremor, shudder, shiver"
"3380","teniente (nm)","lieutenant, deputy mayor"
"3381","tercio (nm)","third (one-third)"
"3382","titular (nm)","headline, holder (nm)"
"3383","tomate (nm)","tomato"
"3384","trigo (nm)","wheat"
"3385","umbral (nm)","threshold, outset"
"3386","uniforme (adj)","uniform (adj)"
"3387","vocabulario (nm)","vocabulary"
"3388","administrador (nm/f)","administrator, manager"
"3389","embajador (nm/f)","ambassador"
"3390","físico (nm/f)","physicist (nm/f)"
"3391","pescador (nm/f)","fisherman"
"3392","coma (nmf)","comma (f), coma (m)"
"3393","abusar (v)","to abuse"
"3394","acarrear (v)","to carry, result in, entail"
"3395","acontecer (v)","to happen, come about"
"3396","agradar (v)","to please"
"3397","aguardar (v)","to wait for, await"
"3398","albergar (v)","to lodge, harbor"
"3399","alegar (v)","to plead, argue"
"3400","almorzar (v)","to have lunch"
"3401","alquilar (v)","to rent, hire [also arrendar]"
"3402","alumbrar (v)","to light, illuminate"
"3403","amanecer (v)","to dawn, get light (v)"
"3404","apelar (v)","to call upon, appeal to"
"3405","apostar (v)","to wager, bet"
"3406","arrepentir (v)","to repent, regret"
"3407","asaltar (v)","to assault"
"3408","asombrar (v)","to amaze, astound"
"3409","atrapar (v)","to trap, catch"
"3410","besar (v)","to kiss"
"3411","charlar (v)","to chat, talk"
"3412","clasificar (v)","to classify, sort, file"
"3413","complacer (v)","to please, satisfy"
"3414","complementar (v)","to complement, supplement"
"3415","conmover (v)","to move, affect"
"3416","consentir (v)","to consent to, pamper"
"3417","consolar (v)","to console"
"3418","consumar (v)","to complete, carry out, consummate"
"3419","contrastar (v)","to contrast"
"3420","coser (v)","to sew"
"3421","cuestionar (v)","to question"
"3422","dañar (v)","to damage"
"3423","derribar (v)","to knock down, to demolish"
"3424","derrumbar (v)","to knock down, demolish"
"3425","desbordar (v)","to overflow, spill over"
"3426","descomponer (v)","to decompose, break down"
"3427","desechar (v)","to throw out"
"3428","desencadenar (v)","to unleash, unchain"
"3429","desenvolver (v)","to unwrap"
"3430","deslizar (v)","to slide, glide, slip"
"3431","destrozar (v)","to rip/break into pieces"
"3432","disipar (v)","to dispel, dissipate"
"3433","dotar (v)","to endow, bestow"
"3434","embarcar (v)","to embark, load"
"3435","emigrar (v)","to emigrate"
"3436","encarar (v)","to front, confront"
"3437","encarnar (v)","to embody"
"3438","enfocar (v)","<div>to focus</div>"
"3439","enfriar (v)","to cool"
"3440","entusiasmar (v)","to fill with enthusiasm, excite"
"3441","equivaler (v)","to be equivalent, tantamount to"
"3442","estirar (v)","to stretch, strain"
"3443","estrechar (v)","to tighten, make closer"
"3444","estrenar (v)","to use for the first time, debut"
"3445","explorar (v)","to explore"
"3446","extinguir (v)","to extinguish, put out"
"3447","felicitar (v)","to congratulate"
"3448","filtrar (v)","to seep, filter"
"3449","florecer (v)","to flower, bloom, flourish"
"3450","fomentar (v)","to foster, promote, encourage"
"3451","fundir (v)","to melt, cast, smelt"
"3452","honrar (v)","to honor"
"3453","ilustrar (v)","to illustrate"
"3454","incitar (v)","to incite"
"3455","incrementar (v)","to increase [also aumentar]"
"3456","inscribir (v)","to register, record [also registrar]"
"3457","intercambiar (v)","to exchange"
"3458","interrogar (v)","to question, interrogate"
"3459","madurar (v)","to mature, ripen"
"3460","meditar (v)","to meditate, ponder"
"3461","mojar (v)","to make wet, dampen"
"3462","morder (v)","to bite"
"3463","movilizar (v)","to mobilize"
"3464","mudar (v)","to move, change"
"3465","narrar (v)","to narrate, tell"
"3466","negociar (v)","to negotiate, deal with"
"3467","ofender (v)","to offend"
"3468","oscilar (v)","oscillate"
"3469","paralizar (v)","to paralyze"
"3470","parir (v)","to give birth"
"3471","pecar (v)","to sin"
"3472","predicar (v)","to preach"
"3473","prescindir (v)","to do without"
"3474","presenciar (v)","to be present at, witness"
"3475","profundizar (v)","to deepen, analyze in depth"
"3476","propiciar (v)","to favor, foster, aid"
"3477","radicar (v)","to lie, be situated"
"3478","ratificar (v)","to ratify"
"3479","reanudar (v)","to renew, resume"
"3480","recitar (v)","to recite"
"3481","recobrar (v)","to recover, regain"
"3482","recortar (v)","to trim, cut off, clip"
"3483","refugiar (v)","to take shelter, give refuge"
"3484","remover (v)","to remove, stir"
"3485","reprimir (v)","to repress"
"3486","reprochar (v)","to reproach"
"3487","resaltar (v)","to emphasize"
"3488","retornar (v)","to return, give back&nbsp;[also devolver]"
"3489","revivir (v)","to revive"
"3490","revolver (v)","to stir, to make upset, to rummage through"
"3491","sentir (nm)","feeling (nm)"
"3492","simular (v)","to pretend, simulate"
"3493","sobrepasar (v)","excel, out perform"
"3494","sobresalir (v)","to stand out, excel"
"3495","subsistir (v)","to subsist, survive"
"3496","traicionar (v)","to betray"
"3497","tranquilizar (v)","to calm down"
"3498","traspasar (v)","to go beyond, cross over"
"3499","vaciar (v)","to empty, pour out"
"3500","verificar (v)","to verify"
"3501","acertado (adj)","correct, accurate"
"3502","adicional (adj)","additional"
"3503","ágil (adj)","agile"
"3504","agitado (adj)","agitated, irritated"
"3505","agrario (adj)","agrarian, agricultural"
"3506","alternativo (adj)","alternating, alternative"
"3507","ambulante (adj)","traveling"
"3508","amenazado (adj)","threatened"
"3509","amistoso (adj)","friendly"
"3510","apagado (adj)","turned off"
"3511","arbitrario (adj)","arbitrary,&nbsp;high-handed"
"3512","ardiente (adj)","passionate, ardent"
"3513","atrapado (adj)","trapped"
"3514","atrasado (adj)","behind, slow"
"3515","audaz (adj)","audacious, bold"
"3516","brasileño (adj)","Brazilian"
"3517","cariñoso (adj)","affectionate"
"3518","catalán (adj)","Catalan"
"3519","celeste (adj)","heavenly, sky-blue"
"3520","celoso (adj)","jealous"
"3521","clandestino (adj)","undercover, clandestine"
"3522","coherente (adj)","coherent, connected"
"3523","compacto (adj)","compact, dense"
"3524","comprensible (adj)","understandable"
"3525","comunitario (adj)","of the community"
"3526","condicionado (adj)","conditioned"
"3527","constitucional (adj)","constitutional"
"3528","convincente (adj)","convincing (adj)"
"3529","criminal (nc)","criminal (nc)"
"3530","cuidadoso (adj)","careful, cautious"
"3531","defensivo (adj)","defensive"
"3532","descalzo (adj)","barefoot"
"3533","deseable (adj)","desirable"
"3534","desordenado (adj)","messy, confused"
"3535","destruido (adj)","destroyed"
"3536","detallado (adj)","detailed, thorough"
"3537","dichoso (adj)","fortunate, happy"
"3538","diminuto (adj)","diminutive, tiny, minute"
"3539","dinámico (adj)","dynamic"
"3540","disfrazado (adj)","disguised"
"3541","efímero (adj)","ephemeral, short-lived"
"3542","enterado (adj)","aware of"
"3543","enterrado (adj)","buried"
"3544","entusiasmado (adj)","enthused, excited"
"3545","equivalente (adj)","equivalent (adj)"
"3546","erótico (adj)","erotic"
"3547","espacial (adj)","spatial, space"
"3548","estatal (adj)","state, government-owned"
"3549","estéril (adj)","sterile, barren"
"3550","estratégico (adj)","strategic"
"3551","ético (adj)","ethical"
"3552","experimental (adj)","experimental"
"3553","explícito (adj)","explicit"
"3554","expresivo (adj)","expressive"
"3555","expreso (adj)","express, explicit"
"3556","fiscal (adj)","fiscal, treasury (adj)"
"3557","fotográfico (adj)","photographic"
"3558","genético (adj)","genetic"
"3559","gigante (adj)","gigantic (adj)"
"3560","gráfico (adj)","graphic, explicit"
"3561","grandioso (adj)","magnificent, grandiose"
"3562","grosero (adj)","crude, rude, crass"
"3563","guapo (adj)","handsome, beautiful"
"3564","holandés (adj)","Dutch"
"3565","honrado (adj)","honest, respectable"
"3566","hundido (adj)","buried, sunken"
"3567","imperial (adj)","imperial, imperialist"
"3568","imprevisto (adj)","unforeseen, unexpected"
"3569","incipiente (adj)","incipient, beginning"
"3570","incomprensible (adj)","incomprehensible"
"3571","indefinido (adj)","vague, indefinite"
"3572","indiscutible (adj)","indisputable, unquestionable"
"3573","indudable (adj)","unquestionable"
"3574","inexplicable (adj)","unexplainable"
"3575","infeliz (adj)","unhappy, unfortunate"
"3576","inmerso (adj)","engrossed, immersed"
"3577","inminente (adj)","imminent"
"3578","inmóvil (adj)","immovable, motionless"
"3579","inolvidable (adj)","unforgettable"
"3580","inquietante (adj)","disquieting"
"3581","invertido (adj)","reversed, inverted"
"3582","irracional (adj)","irrational"
"3583","justificado (adj)","justifiable, justified"
